FeatureCode,DateCode,Measurement,Units,Value,Population Projection Variant,Age,Sex
S92000003,2043,Count,People,95640,Population - High,90 years and over,All
S92000003,2043,Count,People,341132,Population - High,60-64 years,All
S92000003,2043,Count,People,367314,Population - High,55-59 years,All
S92000003,2043,Count,People,327323,Population - High,70-74 years,All
S92000003,2043,Count,People,297615,Population - High,65-69 years,All
S92000003,2037,Count,People,5748874,Population - High,All,All
S92000003,2036,Count,People,5734980,Population - High,All,All
S92000003,2038,Count,People,5762665,Population - High,All,All
S92000003,2034,Count,People,5706581,Population - High,All,All
S92000003,2035,Count,People,5720903,Population - High,All,All
S92000003,2041,Count,People,5804011,Population - High,All,All
S92000003,2042,Count,People,5817848,Population - High,All,All
S92000003,2039,Count,People,5776411,Population - High,All,All
S92000003,2040,Count,People,5790193,Population - High,All,All
S92000003,2023,Count,People,390253,Population - High,30-34 years,All
S92000003,2023,Count,People,367472,Population - High,35-39 years,All
S92000003,2023,Count,People,362110,Population - High,25-29 years,All
S92000003,2023,Count,People,317424,Population - High,45-49 years,All
S92000003,2023,Count,People,350534,Population - High,40-44 years,All
S92000003,2023,Count,People,268662,Population - High,0-4 years,All
S92000003,2023,Count,People,305700,Population - High,10-14 years,All
S92000003,2022,Count,People,46843,Population - High,90 years and over,All
S92000003,2023,Count,People,317592,Population - High,20-24 years,All
S92000003,2023,Count,People,294162,Population - High,15-19 years,All
S92000003,2023,Count,People,275226,Population - High,70-74 years,All
S92000003,2023,Count,People,234178,Population - High,75-79 years,All
S92000003,2023,Count,People,320341,Population - High,65-69 years,All
S92000003,2023,Count,People,90539,Population - High,85-89 years,All
S92000003,2023,Count,People,149015,Population - High,80-84 years,All
S92000003,2023,Count,People,371770,Population - High,50-54 years,All
S92000003,2023,Count,People,282778,Population - High,5-9 years,All
S92000003,2023,Count,People,376665,Population - High,60-64 years,All
S92000003,2023,Count,People,399221,Population - High,55-59 years,All
S92000003,2022,Count,People,389337,Population - High,30-34 years,All
S92000003,2022,Count,People,360920,Population - High,35-39 years,All
S92000003,2022,Count,People,365715,Population - High,25-29 years,All
S92000003,2022,Count,People,324718,Population - High,45-49 years,All
S92000003,2022,Count,People,341584,Population - High,40-44 years,All
S92000003,2022,Count,People,266481,Population - High,0-4 years,All
S92000003,2022,Count,People,306536,Population - High,10-14 years,All
S92000003,2021,Count,People,45423,Population - High,90 years and over,All
S92000003,2022,Count,People,325091,Population - High,20-24 years,All
S92000003,2022,Count,People,286473,Population - High,15-19 years,All
S92000003,2022,Count,People,278891,Population - High,70-74 years,All
S92000003,2022,Count,People,223831,Population - High,75-79 years,All
S92000003,2022,Count,People,312874,Population - High,65-69 years,All
S92000003,2022,Count,People,88280,Population - High,85-89 years,All
S92000003,2022,Count,People,145780,Population - High,80-84 years,All
S92000003,2022,Count,People,382291,Population - High,50-54 years,All
S92000003,2022,Count,People,287801,Population - High,5-9 years,All
S92000003,2022,Count,People,368774,Population - High,60-64 years,All
S92000003,2022,Count,People,401307,Population - High,55-59 years,All
S92000003,2025,Count,People,354536,Population - High,25-29 years,All
S92000003,2025,Count,People,387177,Population - High,30-34 years,All
S92000003,2025,Count,People,312428,Population - High,20-24 years,All
S92000003,2025,Count,People,357633,Population - High,40-44 years,All
S92000003,2025,Count,People,380575,Population - High,35-39 years,All
S92000003,2024,Count,People,48929,Population - High,90 years and over,All
S92000003,2025,Count,People,274672,Population - High,0-4 years,All
S92000003,2024,Count,People,92405,Population - High,85-89 years,All
S92000003,2025,Count,People,304154,Population - High,15-19 years,All
S92000003,2025,Count,People,302455,Population - High,10-14 years,All
S92000003,2025,Count,People,336772,Population - High,65-69 years,All
S92000003,2025,Count,People,276393,Population - High,70-74 years,All
S92000003,2025,Count,People,389779,Population - High,60-64 years,All
S92000003,2025,Count,People,156006,Population - High,80-84 years,All
S92000003,2025,Count,People,247310,Population - High,75-79 years,All
S92000003,2025,Count,People,273831,Population - High,5-9 years,All
S92000003,2025,Count,People,324109,Population - High,45-49 years,All
S92000003,2025,Count,People,388177,Population - High,55-59 years,All
S92000003,2025,Count,People,347780,Population - High,50-54 years,All
S92000003,2024,Count,People,359360,Population - High,25-29 years,All
S92000003,2024,Count,People,389827,Population - High,30-34 years,All
S92000003,2024,Count,People,312318,Population - High,20-24 years,All
S92000003,2024,Count,People,354024,Population - High,40-44 years,All
S92000003,2024,Count,People,374755,Population - High,35-39 years,All
S92000003,2024,Count,People,272710,Population - High,0-4 years,All
S92000003,2023,Count,People,47823,Population - High,90 years and over,All
S92000003,2024,Count,People,300500,Population - High,15-19 years,All
S92000003,2024,Count,People,303481,Population - High,10-14 years,All
S92000003,2024,Count,People,328534,Population - High,65-69 years,All
S92000003,2024,Count,People,274719,Population - High,70-74 years,All
S92000003,2024,Count,People,383036,Population - High,60-64 years,All
S92000003,2024,Count,People,153202,Population - High,80-84 years,All
S92000003,2024,Count,People,241040,Population - High,75-79 years,All
S92000003,2024,Count,People,277036,Population - High,5-9 years,All
S92000003,2024,Count,People,319035,Population - High,45-49 years,All
S92000003,2024,Count,People,395644,Population - High,55-59 years,All
S92000003,2024,Count,People,358715,Population - High,50-54 years,All
S92000003,2019,Count,People,351357,Population - High,35-39 years,All
S92000003,2019,Count,People,319087,Population - High,40-44 years,All
S92000003,2019,Count,People,368297,Population - High,30-34 years,All
S92000003,2019,Count,People,298869,Population - High,5-9 years,All
S92000003,2019,Count,People,361036,Population - High,45-49 years,All
S92000003,2019,Count,People,294027,Population - High,10-14 years,All
S92000003,2019,Count,People,279253,Population - High,15-19 years,All
S92000003,2019,Count,People,271133,Population - High,0-4 years,All
S92000003,2019,Count,People,381497,Population - High,25-29 years,All
S92000003,2019,Count,People,347224,Population - High,20-24 years,All
S92000003,2019,Count,People,195899,Population - High,75-79 years,All
S92000003,2019,Count,People,142767,Population - High,80-84 years,All
S92000003,2019,Count,People,278534,Population - High,70-74 years,All
S92000003,2019,Count,People,43094,Population - High,90 years and over,All
S92000003,2019,Count,People,83123,Population - High,85-89 years,All
S92000003,2019,Count,People,392935,Population - High,55-59 years,All
S92000003,2019,Count,People,400878,Population - High,50-54 years,All
S92000003,2019,Count,People,299386,Population - High,65-69 years,All
S92000003,2019,Count,People,344546,Population - High,60-64 years,All
S92000003,2018,Count,People,347997,Population - High,35-39 years,All
S92000003,2018,Count,People,317522,Population - High,40-44 years,All
S92000003,2018,Count,People,361258,Population - High,30-34 years,All
S92000003,2018,Count,People,301089,Population - High,5-9 years,All
S92000003,2018,Count,People,374287,Population - High,45-49 years,All
S92000003,2018,Count,People,287790,Population - High,10-14 years,All
S92000003,2018,Count,People,284564,Population - High,15-19 years,All
S92000003,2018,Count,People,276862,Population - High,0-4 years,All
S92000003,2018,Count,People,382340,Population - High,25-29 years,All
S92000003,2018,Count,People,350624,Population - High,20-24 years,All
S92000003,2018,Count,People,191102,Population - High,75-79 years,All
S92000003,2018,Count,People,140258,Population - High,80-84 years,All
S92000003,2018,Count,People,270965,Population - High,70-74 years,All
S92000003,2018,Count,People,41927,Population - High,90 years and over,All
S92000003,2018,Count,People,81449,Population - High,85-89 years,All
S92000003,2018,Count,People,386660,Population - High,55-59 years,All
S92000003,2018,Count,People,404687,Population - High,50-54 years,All
S92000003,2018,Count,People,300413,Population - High,65-69 years,All
S92000003,2018,Count,People,336306,Population - High,60-64 years,All
S92000003,2021,Count,People,381867,Population - High,30-34 years,All
S92000003,2021,Count,People,357808,Population - High,35-39 years,All
S92000003,2021,Count,People,372049,Population - High,25-29 years,All
S92000003,2021,Count,People,337454,Population - High,45-49 years,All
S92000003,2021,Count,People,330824,Population - High,40-44 years,All
S92000003,2021,Count,People,265973,Population - High,0-4 years,All
S92000003,2021,Count,People,303557,Population - High,10-14 years,All
S92000003,2020,Count,People,44126,Population - High,90 years and over,All
S92000003,2021,Count,People,334681,Population - High,20-24 years,All
S92000003,2021,Count,People,280949,Population - High,15-19 years,All
S92000003,2021,Count,People,289885,Population - High,70-74 years,All
S92000003,2021,Count,People,205272,Population - High,75-79 years,All
S92000003,2021,Count,People,305465,Population - High,65-69 years,All
S92000003,2021,Count,People,86810,Population - High,85-89 years,All
S92000003,2021,Count,People,144239,Population - High,80-84 years,All
S92000003,2021,Count,People,389410,Population - High,50-54 years,All
S92000003,2021,Count,People,292962,Population - High,5-9 years,All
S92000003,2021,Count,People,360886,Population - High,60-64 years,All
S92000003,2021,Count,People,401011,Population - High,55-59 years,All
S92000003,2020,Count,People,373849,Population - High,30-34 years,All
S92000003,2020,Count,People,354833,Population - High,35-39 years,All
S92000003,2020,Count,People,378367,Population - High,25-29 years,All
S92000003,2020,Count,People,349926,Population - High,45-49 years,All
S92000003,2020,Count,People,324083,Population - High,40-44 years,All
S92000003,2020,Count,People,297569,Population - High,10-14 years,All
S92000003,2020,Count,People,267912,Population - High,0-4 years,All
S92000003,2020,Count,People,341668,Population - High,20-24 years,All
S92000003,2020,Count,People,278964,Population - High,15-19 years,All
S92000003,2020,Count,People,285610,Population - High,70-74 years,All
S92000003,2020,Count,People,199011,Population - High,75-79 years,All
S92000003,2020,Count,People,300719,Population - High,65-69 years,All
S92000003,2020,Count,People,85128,Population - High,85-89 years,All
S92000003,2020,Count,People,144350,Population - High,80-84 years,All
S92000003,2020,Count,People,393112,Population - High,50-54 years,All
S92000003,2020,Count,People,297850,Population - High,5-9 years,All
S92000003,2020,Count,People,352851,Population - High,60-64 years,All
S92000003,2020,Count,People,399588,Population - High,55-59 years,All
S92000003,2029,Count,People,386908,Population - High,60-64 years,All
S92000003,2031,Count,People,345968,Population - High,20-24 years,All
S92000003,2029,Count,People,367014,Population - High,65-69 years,All
S92000003,2031,Count,People,358084,Population - High,30-34 years,All
S92000003,2031,Count,People,329757,Population - High,25-29 years,All
S92000003,2029,Count,People,101311,Population - High,85-89 years,All
S92000003,2029,Count,People,191300,Population - High,80-84 years,All
S92000003,2029,Count,People,56189,Population - High,90 years and over,All
S92000003,2029,Count,People,303881,Population - High,70-74 years,All
S92000003,2029,Count,People,239876,Population - High,75-79 years,All
S92000003,2031,Count,People,332087,Population - High,55-59 years,All
S92000003,2031,Count,People,376599,Population - High,60-64 years,All
S92000003,2031,Count,People,329403,Population - High,50-54 years,All
S92000003,2031,Count,People,319797,Population - High,70-74 years,All
S92000003,2031,Count,People,375679,Population - High,65-69 years,All
S92000003,2031,Count,People,392124,Population - High,40-44 years,All
S92000003,2031,Count,People,388750,Population - High,35-39 years,All
S92000003,2031,Count,People,282313,Population - High,5-9 years,All
S92000003,2031,Count,People,361047,Population - High,45-49 years,All
S92000003,2029,Count,People,281745,Population - High,10-14 years,All
S92000003,2029,Count,People,310409,Population - High,15-19 years,All
S92000003,2029,Count,People,276791,Population - High,0-4 years,All
S92000003,2029,Count,People,327212,Population - High,25-29 years,All
S92000003,2029,Count,People,335726,Population - High,20-24 years,All
S92000003,2028,Count,People,239695,Population - High,75-79 years,All
S92000003,2028,Count,People,185441,Population - High,80-84 years,All
S92000003,2028,Count,People,295839,Population - High,70-74 years,All
S92000003,2028,Count,People,54715,Population - High,90 years and over,All
S92000003,2028,Count,People,97989,Population - High,85-89 years,All
S92000003,2029,Count,People,317455,Population - High,50-54 years,All
S92000003,2029,Count,People,354834,Population - High,55-59 years,All
S92000003,2029,Count,People,279000,Population - High,5-9 years,All
S92000003,2030,Count,People,276528,Population - High,0-4 years,All
S92000003,2030,Count,People,278509,Population - High,10-14 years,All
S92000003,2029,Count,People,397370,Population - High,35-39 years,All
S92000003,2029,Count,People,369239,Population - High,30-34 years,All
S92000003,2029,Count,People,354290,Population - High,45-49 years,All
S92000003,2029,Count,People,377984,Population - High,40-44 years,All
S92000003,2032,Count,People,193436,Population - High,80-84 years,All
S92000003,2032,Count,People,253762,Population - High,75-79 years,All
S92000003,2032,Count,People,118852,Population - High,85-89 years,All
S92000003,2032,Count,People,376500,Population - High,65-69 years,All
S92000003,2032,Count,People,327576,Population - High,70-74 years,All
S92000003,2033,Count,People,294345,Population - High,15-19 years,All
S92000003,2033,Count,People,279537,Population - High,10-14 years,All
S92000003,2033,Count,People,348529,Population - High,20-24 years,All
S92000003,2032,Count,People,59806,Population - High,90 years and over,All
S92000003,2033,Count,People,275738,Population - High,0-4 years,All
S92000003,2032,Count,People,399902,Population - High,40-44 years,All
S92000003,2032,Count,People,382752,Population - High,35-39 years,All
S92000003,2032,Count,People,364322,Population - High,45-49 years,All
S92000003,2032,Count,People,335697,Population - High,25-29 years,All
S92000003,2032,Count,People,349158,Population - High,30-34 years,All
S92000003,2032,Count,People,319789,Population - High,55-59 years,All
S92000003,2032,Count,People,370111,Population - High,60-64 years,All
S92000003,2032,Count,People,283016,Population - High,5-9 years,All
S92000003,2032,Count,People,340203,Population - High,50-54 years,All
S92000003,2032,Count,People,277272,Population - High,10-14 years,All
S92000003,2032,Count,People,299405,Population - High,15-19 years,All
S92000003,2032,Count,People,275937,Population - High,0-4 years,All
S92000003,2033,Count,People,375092,Population - High,65-69 years,All
S92000003,2032,Count,People,349269,Population - High,20-24 years,All
S92000003,2031,Count,People,199649,Population - High,80-84 years,All
S92000003,2031,Count,People,246774,Population - High,75-79 years,All
S92000003,2031,Count,People,58307,Population - High,90 years and over,All
S92000003,2031,Count,People,107380,Population - High,85-89 years,All
S92000003,2033,Count,People,401040,Population - High,40-44 years,All
S92000003,2033,Count,People,379313,Population - High,35-39 years,All
S92000003,2033,Count,People,370947,Population - High,45-49 years,All
S92000003,2033,Count,People,343745,Population - High,25-29 years,All
S92000003,2033,Count,People,342073,Population - High,30-34 years,All
S92000003,2033,Count,People,312787,Population - High,55-59 years,All
S92000003,2033,Count,People,360260,Population - High,60-64 years,All
S92000003,2033,Count,People,283233,Population - High,5-9 years,All
S92000003,2033,Count,People,349212,Population - High,50-54 years,All
S92000003,2027,Count,People,320853,Population - High,20-24 years,All
S92000003,2027,Count,People,339194,Population - High,25-29 years,All
S92000003,2027,Count,People,313351,Population - High,15-19 years,All
S92000003,2027,Count,People,396577,Population - High,35-39 years,All
S92000003,2027,Count,People,375218,Population - High,30-34 years,All
S92000003,2026,Count,People,93904,Population - High,85-89 years,All
S92000003,2026,Count,People,51718,Population - High,90 years and over,All
S92000003,2026,Count,People,161208,Population - High,80-84 years,All
S92000003,2027,Count,People,292498,Population - High,10-14 years,All
S92000003,2027,Count,People,276672,Population - High,0-4 years,All
S92000003,2027,Count,People,391966,Population - High,60-64 years,All
S92000003,2027,Count,People,352676,Population - High,65-69 years,All
S92000003,2027,Count,People,377832,Population - High,55-59 years,All
S92000003,2027,Count,People,242267,Population - High,75-79 years,All
S92000003,2027,Count,People,288486,Population - High,70-74 years,All
S92000003,2027,Count,People,341734,Population - High,45-49 years,All
S92000003,2027,Count,People,363992,Population - High,40-44 years,All
S92000003,2027,Count,People,322970,Population - High,50-54 years,All
S92000003,2027,Count,People,272611,Population - High,5-9 years,All
S92000003,2026,Count,People,314844,Population - High,20-24 years,All
S92000003,2026,Count,People,348146,Population - High,25-29 years,All
S92000003,2026,Count,People,310253,Population - High,15-19 years,All
S92000003,2026,Count,People,388836,Population - High,35-39 years,All
S92000003,2026,Count,People,381207,Population - High,30-34 years,All
S92000003,2025,Count,People,50315,Population - High,90 years and over,All
S92000003,2025,Count,People,93746,Population - High,85-89 years,All
S92000003,2026,Count,People,297611,Population - High,10-14 years,All
S92000003,2026,Count,People,275977,Population - High,0-4 years,All
S92000003,2026,Count,People,391424,Population - High,60-64 years,All
S92000003,2026,Count,People,344787,Population - High,65-69 years,All
S92000003,2026,Count,People,384674,Population - High,55-59 years,All
S92000003,2026,Count,People,251148,Population - High,75-79 years,All
S92000003,2026,Count,People,281214,Population - High,70-74 years,All
S92000003,2026,Count,People,330927,Population - High,45-49 years,All
S92000003,2026,Count,People,360739,Population - High,40-44 years,All
S92000003,2026,Count,People,335507,Population - High,50-54 years,All
S92000003,2026,Count,People,271991,Population - High,5-9 years,All
S92000003,2030,Count,People,364444,Population - High,30-34 years,All
S92000003,2030,Count,People,327360,Population - High,25-29 years,All
S92000003,2030,Count,People,394728,Population - High,35-39 years,All
S92000003,2030,Count,People,309376,Population - High,15-19 years,All
S92000003,2030,Count,People,339648,Population - High,20-24 years,All
S92000003,2030,Count,People,322559,Population - High,50-54 years,All
S92000003,2030,Count,People,280989,Population - High,5-9 years,All
S92000003,2030,Count,People,344108,Population - High,55-59 years,All
S92000003,2030,Count,People,383842,Population - High,40-44 years,All
S92000003,2030,Count,People,357918,Population - High,45-49 years,All
S92000003,2028,Count,People,315797,Population - High,50-54 years,All
S92000003,2028,Count,People,367590,Population - High,55-59 years,All
S92000003,2028,Count,People,274865,Population - High,5-9 years,All
S92000003,2028,Count,People,360570,Population - High,65-69 years,All
S92000003,2028,Count,People,390176,Population - High,60-64 years,All
S92000003,2028,Count,People,397662,Population - High,35-39 years,All
S92000003,2028,Count,People,371779,Population - High,30-34 years,All
S92000003,2028,Count,People,350717,Population - High,45-49 years,All
S92000003,2028,Count,People,370614,Population - High,40-44 years,All
S92000003,2028,Count,People,312598,Population - High,15-19 years,All
S92000003,2028,Count,People,328969,Population - High,20-24 years,All
S92000003,2028,Count,People,287483,Population - High,10-14 years,All
S92000003,2031,Count,People,304567,Population - High,15-19 years,All
S92000003,2028,Count,People,332109,Population - High,25-29 years,All
S92000003,2027,Count,People,95292,Population - High,85-89 years,All
S92000003,2027,Count,People,176698,Population - High,80-84 years,All
S92000003,2028,Count,People,276881,Population - High,0-4 years,All
S92000003,2027,Count,People,53116,Population - High,90 years and over,All
S92000003,2030,Count,People,241937,Population - High,75-79 years,All
S92000003,2030,Count,People,311917,Population - High,70-74 years,All
S92000003,2030,Count,People,196442,Population - High,80-84 years,All
S92000003,2030,Count,People,379839,Population - High,60-64 years,All
S92000003,2030,Count,People,373797,Population - High,65-69 years,All
S92000003,2031,Count,People,276217,Population - High,0-4 years,All
S92000003,2031,Count,People,276656,Population - High,10-14 years,All
S92000003,2030,Count,People,103578,Population - High,85-89 years,All
S92000003,2030,Count,People,57554,Population - High,90 years and over,All
S92000003,2036,Count,People,162696,Fertility - Low,70-74 years,Male
S92000003,2036,Count,People,184556,Fertility - Low,70-74 years,Female
S92000003,2036,Count,People,169919,Fertility - Low,65-69 years,Male
S92000003,2036,Count,People,190117,Fertility - Low,65-69 years,Female
S92000003,2037,Count,People,105952,Fertility - Low,0-4 years,Female
S92000003,2037,Count,People,119427,Fertility - Low,10-14 years,Male
S92000003,2037,Count,People,111272,Fertility - Low,0-4 years,Male
S92000003,2037,Count,People,174591,Fertility - Low,35-39 years,Male
S92000003,2036,Count,People,128912,Fertility - Low,75-79 years,Male
S92000003,2037,Count,People,187336,Fertility - Low,40-44 years,Female
S92000003,2036,Count,People,87405,Fertility - Low,80-84 years,Male
S92000003,2036,Count,People,108388,Fertility - Low,80-84 years,Female
S92000003,2036,Count,People,150857,Fertility - Low,75-79 years,Female
S92000003,2034,Count,People,143197,Fertility - Low,75-79 years,Female
S92000003,2034,Count,People,194423,Fertility - Low,65-69 years,Female
S92000003,2034,Count,People,122086,Fertility - Low,75-79 years,Male
S92000003,2034,Count,People,179627,Fertility - Low,70-74 years,Female
S92000003,2034,Count,People,175384,Fertility - Low,65-69 years,Male
S92000003,2034,Count,People,164982,Fertility - Low,60-64 years,Male
S92000003,2036,Count,People,55431,Fertility - Low,85-89 years,Male
S92000003,2036,Count,People,75025,Fertility - Low,85-89 years,Female
S92000003,2037,Count,People,113482,Fertility - Low,10-14 years,Female
S92000003,2036,Count,People,39320,Fertility - Low,90 years and over,Female
S92000003,2034,Count,People,159322,Fertility - Low,70-74 years,Male
S92000003,2036,Count,People,24464,Fertility - Low,90 years and over,Male
S92000003,2036,Count,People,131417,Fertility - Low,15-19 years,Female
S92000003,2036,Count,People,120908,Fertility - Low,10-14 years,Male
S92000003,2036,Count,People,177510,Fertility - Low,25-29 years,Male
S92000003,2036,Count,People,138619,Fertility - Low,15-19 years,Male
S92000003,2037,Count,People,174487,Fertility - Low,25-29 years,Female
S92000003,2036,Count,People,165084,Fertility - Low,20-24 years,Female
S92000003,2035,Count,People,38419,Fertility - Low,90 years and over,Female
S92000003,2035,Count,People,54698,Fertility - Low,85-89 years,Male
S92000003,2035,Count,People,85392,Fertility - Low,80-84 years,Male
S92000003,2036,Count,People,169925,Fertility - Low,20-24 years,Male
S92000003,2036,Count,People,161314,Fertility - Low,30-34 years,Female
S92000003,2036,Count,People,173162,Fertility - Low,25-29 years,Female
S92000003,2037,Count,People,190222,Fertility - Low,40-44 years,Male
S92000003,2037,Count,People,108629,Fertility - Low,5-9 years,Female
S92000003,2037,Count,People,199685,Fertility - Low,45-49 years,Female
S92000003,2037,Count,People,169733,Fertility - Low,35-39 years,Female
S92000003,2037,Count,People,168872,Fertility - Low,30-34 years,Male
S92000003,2037,Count,People,195115,Fertility - Low,45-49 years,Male
S92000003,2037,Count,People,179282,Fertility - Low,25-29 years,Male
S92000003,2037,Count,People,134554,Fertility - Low,15-19 years,Male
S92000003,2037,Count,People,163964,Fertility - Low,30-34 years,Female
S92000003,2037,Count,People,167229,Fertility - Low,20-24 years,Male
S92000003,2037,Count,People,162212,Fertility - Low,20-24 years,Female
S92000003,2037,Count,People,128003,Fertility - Low,15-19 years,Female
S92000003,2018,Count,People,195869,Fertility - Low,50-54 years,Male
S92000003,2018,Count,People,147243,Fertility - Low,5-9 years,Female
S92000003,2018,Count,People,134283,Fertility - Low,0-4 years,Female
S92000003,2018,Count,People,208818,Fertility - Low,50-54 years,Female
S92000003,2018,Count,People,173063,Fertility - Low,60-64 years,Female
S92000003,2018,Count,People,163243,Fertility - Low,60-64 years,Male
S92000003,2018,Count,People,153846,Fertility - Low,5-9 years,Male
S92000003,2031,Count,People,131643,Fertility - Low,75-79 years,Female
S92000003,2031,Count,People,149752,Fertility - Low,70-74 years,Male
S92000003,2031,Count,People,177817,Fertility - Low,65-69 years,Male
S92000003,2018,Count,People,140524,Fertility - Low,10-14 years,Female
S92000003,2031,Count,People,196026,Fertility - Low,65-69 years,Female
S92000003,2018,Count,People,142579,Fertility - Low,0-4 years,Male
S92000003,2018,Count,People,180561,Fertility - Low,45-49 years,Male
S92000003,2018,Count,People,161947,Fertility - Low,40-44 years,Female
S92000003,2018,Count,People,193726,Fertility - Low,45-49 years,Female
S92000003,2032,Count,People,189616,Fertility - Low,35-39 years,Male
S92000003,2032,Count,People,196242,Fertility - Low,40-44 years,Male
S92000003,2018,Count,People,155575,Fertility - Low,40-44 years,Male
S92000003,2018,Count,People,188052,Fertility - Low,55-59 years,Male
S92000003,2018,Count,People,177248,Fertility - Low,35-39 years,Female
S92000003,2018,Count,People,198608,Fertility - Low,55-59 years,Female
S92000003,2018,Count,People,183317,Fertility - Low,30-34 years,Female
S92000003,2018,Count,People,177941,Fertility - Low,30-34 years,Male
S92000003,2018,Count,People,170749,Fertility - Low,35-39 years,Male
S92000003,2033,Count,People,110725,Fertility - Low,5-9 years,Female
S92000003,2033,Count,People,156698,Fertility - Low,70-74 years,Male
S92000003,2033,Count,People,116401,Fertility - Low,5-9 years,Male
S92000003,2033,Count,People,118903,Fertility - Low,75-79 years,Male
S92000003,2033,Count,People,139002,Fertility - Low,75-79 years,Female
S92000003,2033,Count,People,176069,Fertility - Low,70-74 years,Female
S92000003,2033,Count,People,178377,Fertility - Low,50-54 years,Female
S92000003,2033,Count,People,150488,Fertility - Low,55-59 years,Male
S92000003,2033,Count,People,168386,Fertility - Low,50-54 years,Male
S92000003,2033,Count,People,179789,Fertility - Low,45-49 years,Male
S92000003,2033,Count,People,187830,Fertility - Low,45-49 years,Female
S92000003,2033,Count,People,160337,Fertility - Low,55-59 years,Female
S92000003,2018,Count,People,191808,Fertility - Low,25-29 years,Female
S92000003,2018,Count,People,190532,Fertility - Low,25-29 years,Male
S92000003,2018,Count,People,139159,Fertility - Low,15-19 years,Female
S92000003,2018,Count,People,177287,Fertility - Low,20-24 years,Male
S92000003,2031,Count,People,167960,Fertility - Low,70-74 years,Female
S92000003,2018,Count,People,173337,Fertility - Low,20-24 years,Female
S92000003,2033,Count,People,187832,Fertility - Low,60-64 years,Female
S92000003,2033,Count,People,176941,Fertility - Low,65-69 years,Male
S92000003,2033,Count,People,170448,Fertility - Low,60-64 years,Male
S92000003,2018,Count,People,145405,Fertility - Low,15-19 years,Male
S92000003,2018,Count,People,147266,Fertility - Low,10-14 years,Male
S92000003,2033,Count,People,195924,Fertility - Low,65-69 years,Female
S92000003,2036,Count,People,174327,Fertility - Low,35-39 years,Female
S92000003,2036,Count,People,165903,Fertility - Low,30-34 years,Male
S92000003,2036,Count,People,191293,Fertility - Low,45-49 years,Male
S92000003,2036,Count,People,196327,Fertility - Low,45-49 years,Female
S92000003,2036,Count,People,179854,Fertility - Low,35-39 years,Male
S92000003,2036,Count,People,157371,Fertility - Low,55-59 years,Male
S92000003,2036,Count,People,191872,Fertility - Low,40-44 years,Female
S92000003,2032,Count,People,125060,Fertility - Low,10-14 years,Female
S92000003,2032,Count,People,111746,Fertility - Low,0-4 years,Male
S92000003,2032,Count,People,173706,Fertility - Low,20-24 years,Male
S92000003,2032,Count,People,131656,Fertility - Low,10-14 years,Male
S92000003,2036,Count,People,192677,Fertility - Low,40-44 years,Male
S92000003,2032,Count,People,144487,Fertility - Low,15-19 years,Female
S92000003,2036,Count,People,105893,Fertility - Low,0-4 years,Female
S92000003,2035,Count,People,23448,Fertility - Low,90 years and over,Male
S92000003,2036,Count,People,183549,Fertility - Low,50-54 years,Female
S92000003,2036,Count,People,111212,Fertility - Low,0-4 years,Male
S92000003,2035,Count,People,73927,Fertility - Low,85-89 years,Female
S92000003,2036,Count,People,114901,Fertility - Low,10-14 years,Female
S92000003,2036,Count,People,155122,Fertility - Low,60-64 years,Male
S92000003,2036,Count,People,168298,Fertility - Low,60-64 years,Female
S92000003,2036,Count,People,166469,Fertility - Low,55-59 years,Female
S92000003,2036,Count,People,108903,Fertility - Low,5-9 years,Female
S92000003,2036,Count,People,172715,Fertility - Low,50-54 years,Male
S92000003,2036,Count,People,114507,Fertility - Low,5-9 years,Male
S92000003,2032,Count,People,154130,Fertility - Low,55-59 years,Male
S92000003,2032,Count,People,163902,Fertility - Low,55-59 years,Female
S92000003,2032,Count,People,173849,Fertility - Low,50-54 years,Female
S92000003,2032,Count,People,185182,Fertility - Low,45-49 years,Female
S92000003,2032,Count,People,117523,Fertility - Low,5-9 years,Male
S92000003,2032,Count,People,176238,Fertility - Low,45-49 years,Male
S92000003,2032,Count,People,167103,Fertility - Low,30-34 years,Female
S92000003,2032,Count,People,165841,Fertility - Low,25-29 years,Male
S92000003,2032,Count,People,199257,Fertility - Low,40-44 years,Female
S92000003,2032,Count,People,171996,Fertility - Low,30-34 years,Male
S92000003,2032,Count,People,164202,Fertility - Low,50-54 years,Male
S92000003,2032,Count,People,185932,Fertility - Low,35-39 years,Female
S92000003,2031,Count,People,61155,Fertility - Low,85-89 years,Female
S92000003,2031,Count,People,87691,Fertility - Low,80-84 years,Male
S92000003,2031,Count,People,112789,Fertility - Low,75-79 years,Male
S92000003,2032,Count,People,153076,Fertility - Low,15-19 years,Male
S92000003,2032,Count,People,160776,Fertility - Low,25-29 years,Female
S92000003,2032,Count,People,171116,Fertility - Low,20-24 years,Female
S92000003,2031,Count,People,35229,Fertility - Low,90 years and over,Female
S92000003,2031,Count,People,43489,Fertility - Low,85-89 years,Male
S92000003,2032,Count,People,111792,Fertility - Low,5-9 years,Female
S92000003,2031,Count,People,20057,Fertility - Low,90 years and over,Male
S92000003,2031,Count,People,108927,Fertility - Low,80-84 years,Female
S92000003,2032,Count,People,106409,Fertility - Low,0-4 years,Female
S92000003,2023,Count,People,607896,Fertility - Low,Pensionable Age (65 and over),Female
